title,credit_id,department,gender,id,job,name,id1,first_name,imdb,gender_prob,gender_guess
X-Men: Apocalypse,5835abd19251416c63016ba0,Sound,2,1544669,Foley,John Morris,NA,NA,NA,NA,NA
X-Men: Apocalypse,5835a669c3a3682f2a01391f,Crew,0,1548869,CG Supervisor,JĂŠrome Escobar,NA,NA,NA,NA,NA
X-Men: Apocalypse,5675f237c3a368167a003d7b,Crew,0,1551344,Stunts,Thomas J. Larsen,NA,NA,NA,NA,NA
X-Men: Apocalypse,567601de92514179d200416a,Sound,0,1551367,Foley,Blake Collins,NA,NA,NA,NA,NA
X-Men: Apocalypse,5835ab7bc3a3682ea10160bd,Editing,0,1552396,Dialogue Editor,Helen Luttrell,NA,NA,NA,NA,NA
X-Men: Apocalypse,5835a34f925141691b01732e,Costume &amp; Make-Up,0,1570586,Set Costumer,ValĂŠrie BĂŠlĂ¨gou,NA,NA,NA,NA,NA
X-Men: Apocalypse,5835a8aa9251416d00017231,Costume &amp; Make-Up,0,1571046,Hair Department Head,FĂŠlix LariviĂ¨re,NA,NA,NA,NA,NA
X-Men: Apocalypse,5835a6799251416d2201766c,Crew,0,1585735,CG Supervisor,Sylvain Theroux,NA,NA,NA,NA,NA
X-Men: Apocalypse,5835a6959251416a31017804,Crew,0,1609856,Digital Effects Supervisor,Nikos Kalaitzidis,NA,NA,NA,NA,NA
X-Men: Apocalypse,5835a368925141691b01734a,Costume &amp; Make-Up,0,1637287,Set Costumer,Olivier Proulx,NA,NA,NA,NA,NA
X-Men: Apocalypse,5835a486c3a3682ea1015b0d,Camera,0,1693479,Underwater Camera,Emmanuel BĂŠhier Migeon,NA,NA,NA,NA,NA
X-Men: Apocalypse,5835a4aac3a3682ea1015b36,Lighting,0,1706692,Rigging Grip,Jean-FranĂ§ois DubĂŠ,NA,NA,NA,NA,NA
X-Men: Apocalypse,5834655bc3a36829d9006eaf,Art,0,1712626,Art Direction,Veronique Meunier,NA,NA,NA,NA,NA
X-Men: Apocalypse,583465c89251416bc60066db,Art,0,1712629,Set Decoration,Geoffroy Gosselin,NA,NA,NA,NA,NA
X-Men: Apocalypse,5834662a9251416c63006287,Visual Effects,0,1712630,Animation Director,Florent Limouzin,NA,NA,NA,NA,NA
X-Men: Apocalypse,5834668ac3a3682f9d00654f,Production,0,1712631,Casting Associate,Kathleen Parker,NA,NA,NA,NA,NA
